user_id,anime_id,rating
42,2432,7
73,1,9
11,3901,9
78,1569,9
17,6676,10
40,5681,7
3,4654,7
6,2144,3
73,5682,9
66,1946,6
78,166,7
21,1243,8
53,1530,5
42,6793,7
28,223,10
4,355,5
12,237,10
33,1239,4
53,4901,8
63,199,8
57,849,10
53,1384,5
18,93,10
72,578,10
19,1303,8
28,527,9
52,565,8
23,551,8
64,6547,9
33,2954,6
67,4975,10
46,3784,8
6,467,8
3,6547,8
3,189,7
53,597,9
16,516,6
6,936,4
64,2993,9
6,5141,9
64,6682,10
3,2251,9
36,513,9
53,142,7
34,1535,10
42,227,10
47,5958,7
21,50,9
34,46,10
27,154,9
52,849,10
1,936,6
52,2164,9
74,355,5
19,601,5
64,5530,10
73,2031,8
16,189,6
21,4752,7
42,394,6
21,5680,9
33,532,8
64,6325,9
10,934,9
6,4138,6
17,2248,5
19,6880,8
19,1379,9
46,256,7
4,644,7
6,5947,9
0,419,8
53,1571,10
36,298,9
41,120,8
53,2748,6
66,1535,9
52,1631,8
6,3358,9
16,1689,7
